HeightRank,Name,Classification(DoBIH codes),Completed,Completed Date,Height(ft),Height(m),URL,OS Grid Reference,Planned,Priority,Prom.(ft),Prom.(m),Section,Topo Map,X,Y,Latitude,Longitude
11,Esk Pike,"Hu,Sim,Hew,N,W,B,Sy,Fel",,,"2,904",885,https://en.wikipedia.org/wiki/Esk_Pike,NY2360007500,,,367,112,Southern Fells,89 90,323600,507500,54.457114,-3.1799803
12,Raise,"Sim,Hew,N,sHu,W,B,Sy,Fel",,,"2,897",883,https://en.wikipedia.org/wiki/Raise_(Lake_District),NY3420017400,,,299,91,Eastern Fells,90,334200,517400,54.547557,-3.018717
13,Fairfield,"Ma,Sim,Hew,N,W,B,Sy,Fel",,,"2,864",873,https://en.wikipedia.org/wiki/Fairfield_(Lake_District),NY3580011700,,,981,299,Eastern Fells,90,335800,511700,54.496545,-2.9927432
14,Blencathra,"Ma,Sim,Hew,N,W,B,Sy,Fel",,,"2,848",868,https://en.wikipedia.org/wiki/Blencathra,NY3230027700,,,"1,512",461,Northern Fells,90,332300,527700,54.639854,-3.0504636
15,Skiddaw Little Man,"Sim,Hew,N,W,B,Sy,Fel",,,"2,838",865,https://en.wikipedia.org/wiki/Skiddaw_Little_Man,NY2660027700,,,200,61,Northern Fells,89 90,326600,527700,54.639056,-3.138761
16,White Side,"Sim,Hew,N,W,B,Sy,Fel",,,"2,831",863,https://en.wikipedia.org/wiki/White_Side,NY3370016600,,,138,42,Eastern Fells,90,333700,516600,54.540303,-3.0262647
17,Crinkle Crags,"Hu,Sim,Hew,N,W,B,Sy,Fel",,,"2,818",859,https://en.wikipedia.org/wiki/Crinkle_Crags,NY2480004800,,,456,139,Southern Fells,89 90,324800,504800,54.433034,-3.160788
18,Dollywaggon Pike,"Sim,Hew,N,W,B,Sy,Fel",,,"2,815",858,https://en.wikipedia.org/wiki/Dollywaggon_Pike,NY3460013000,,,164,50,Eastern Fells,90,334600,513000,54.508073,-3.0115563
19,Great Dodd,"Hu,Sim,Hew,N,W,B,Sy,Fel",,,"2,812",857,https://en.wikipedia.org/wiki/Great_Dodd,NY3420020500,,,358,109,Eastern Fells,90,334200,520500,54.575411,-3.0194118
20,Grasmoor,"Ma,Sim,Hew,N,W,B,Sy,Fel",,,"2,795",852,https://en.wikipedia.org/wiki/Grasmoor,NY1740020300,,,"1,703",519,North Western Fells,89 90,317400,520300,54.571146,-3.2791796
21,Stybarrow Dodd,"Sim,Hew,N,W,B,Sy,Fel",,,"2,766",843,https://en.wikipedia.org/wiki/Stybarrow_Dodd,NY3430018900,,,223,68,Eastern Fells,90,334300,518900,54.561048,-3.0175069
22,Scoat Fell,"Sim,Hew,N,W,B,Sy,Fel",,,"2,759",841,https://en.wikipedia.org/wiki/Scoat_Fell,NY1590011300,,,282,86,Western Fells,89,315900,511300,54.490038,-3.2998029
